run_label,stratum,n,point_estimate,ci_low,ci_high,ci_width,batch_mean_estimate,batch_mean_available,fold,fold_sd
21_g4_panda_lambda_1_10,positive_only,154,0.832612,0.832465,0.832748,0.000283,,false,,
21_g4_panda_lambda_1_10,negative_only,1950,1.000000,1.000000,1.000000,0.000000,,false,,
22_g4_panda_lambda_10_1,overall,2104,0.987633,0.985724,0.989460,0.003736,,false,,
22_g4_panda_lambda_10_1,positive_only,154,0.833221,0.832733,0.833891,0.001157,,false,,
22_g4_panda_lambda_10_1,negative_only,1950,0.999827,0.999567,1.000000,0.000433,,false,,
23_g5_panda_nomacenko,overall,2104,0.987748,0.985839,0.989577,0.003738,,false,,
23_g5_panda_nomacenko,positive_only,154,0.832612,0.832465,0.832748,0.000283,,false,,
23_g5_panda_nomacenko,negative_only,1950,1.000000,1.000000,1.000000,0.000000,,false,,
24_g5_pannuke_nomacenko,overall,1581,0.763307,0.756493,0.770096,0.013603,,false,,
24_g5_pannuke_nomacenko,positive_only,1581,0.763307,0.756493,0.770096,0.013603,,false,,
25_g5_tcga_noskip,overall,778,0.804336,0.782070,0.825889,0.043818,,false,,
25_g5_tcga_noskip,positive_only,295,0.538215,0.502915,0.573206,0.070291,,false,,
25_g5_tcga_noskip,negative_only,483,0.966874,0.950311,0.981366,0.031056,,false,,
26_g5_panda_noskip,overall,2104,0.987748,0.985839,0.989577,0.003738,,false,,
26_g5_panda_noskip,positive_only,154,0.832612,0.832465,0.832748,0.000283,,false,,
26_g5_panda_noskip,negative_only,1950,1.000000,1.000000,1.000000,0.000000,,false,,
r31_panda_vgg16,overall,2104,0.987748,0.985839,0.989577,0.003738,,false,,
r31_panda_vgg16,positive_only,154,0.832612,0.832465,0.832748,0.000283,,false,,
r31_panda_vgg16,negative_only,1950,1.000000,1.000000,1.000000,0.000000,,false,,
r31_pannuke_vgg16,overall,1581,0.401209,0.394014,0.408395,0.014380,,false,,
r31_pannuke_vgg16,positive_only,1581,0.401209,0.394014,0.408395,0.014380,,false,,
r31_resume_tcga,overall,778,0.000700,0.000427,0.001020,0.000594,,false,,
r31_resume_tcga,positive_only,295,0.001846,0.001102,0.002675,0.001573,,false,,
r31_resume_tcga,negative_only,483,0.000000,0.000000,0.000000,0.000000,,false,,
r31_siim_vgg16,overall,2135,0.664177,0.644028,0.683849,0.039821,,false,,
r31_siim_vgg16,positive_only,476,0.000036,0.000000,0.000109,0.000109,,false,,
r31_siim_vgg16,negative_only,1659,0.854732,0.837854,0.871007,0.033153,,false,,
r31_tcga_vgg16,overall,778,0.000872,0.000558,0.001238,0.000680,,false,,
r31_tcga_vgg16,positive_only,295,0.002300,0.001445,0.003241,0.001796,,false,,
r31_tcga_vgg16,negative_only,483,0.000000,0.000000,0.000000,0.000000,,false,,
